iter	Passed	Remaining
0	108	54267
1	300	74885
2	399	66253
3	499	61886
4	608	60196
5	689	56781
6	768	54115
7	870	53547
8	969	52887
9	1054	51684
10	1155	51361
11	1248	50765
12	1331	49869
13	1503	52184
14	1655	53535
15	1792	54210
16	1905	54151
17	2015	53976
18	2204	55814
19	2346	56312
20	2442	55705
21	2561	55647
22	2699	55983
23	2839	56307
24	2944	55946
25	3061	55817
26	3159	55341
27	3238	54591
28	3324	54000
29	3404	53344
30	3481	52676
31	3568	52183
32	3719	52632
33	3840	52642
34	3952	52506
35	4073	52507
36	4191	52454
37	4312	52429
38	4422	52275
39	4708	54146
40	4833	54113
41	4939	53858
42	5035	53519
43	5133	53204
44	5270	53293
45	5402	53320
46	5516	53170
47	5611	52842
48	5698	52448
49	5788	52099
50	5881	51784
51	5967	51412
52	6055	51068
53	6150	50797
54	6227	50389
55	6308	50020
56	6396	49711
57	6480	49389
58	6557	49017
59	6638	48680
60	6719	48361
61	6840	48325
62	7007	48605
63	7127	48555
64	7264	48617
65	7376	48507
66	7504	48500
67	7641	48543
68	7770	48540
69	7909	48587
70	8080	48822
71	8179	48621
72	8303	48568
73	8397	48343
74	8497	48150
75	8597	47966
76	8718	47896
77	8880	48048
78	8978	47845
79	9077	47654
80	9168	47425
81	9267	47242
82	9351	46984
83	9439	46747
84	9521	46487
85	9608	46256
86	9714	46117
87	9815	45955
88	9899	45714
89	9997	45545
90	10107	45426
91	10214	45298
92	10321	45168
93	10409	44959
94	10501	44769
95	10592	44574
96	10675	44351
97	10812	44351
98	10927	44262
99	11086	44346
100	11169	44123
101	11246	43882
102	11337	43699
103	11452	43608
104	11537	43403
105	11643	43278
106	11726	43070
107	11823	42914
108	11947	42857
109	12034	42667
110	12119	42472
111	12199	42262
112	12277	42047
113	12363	41863
114	12454	41695
115	12545	41529
116	12642	41384
117	12729	41208
118	12818	41040
119	12906	40870
120	12995	40704
121	13098	40584
122	13191	40432
123	13314	40373
124	13436	40309
125	13570	40279
126	13690	40207
127	13768	40014
128	13851	39837
129	13934	39658
130	14024	39502
131	14132	39400
132	14268	39372
133	14359	39221
134	14452	39074
135	14539	38913
136	14636	38782
137	14744	38678
138	14851	38570
139	14944	38427
140	15045	38307
141	15176	38260
142	15333	38280
143	15420	38122
144	15532	38027
